"COLUMN1","symboling","normalizedlosses","make","fueltype","aspiration","numofdoors","bodystyle","drivewheels","enginelocation","wheelbase","length","width","height","curbweight","enginetype","numofcylinders","enginesize","fuelsystem","bore","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price"
"0","3","122","alfa-romero","gas","std","two","convertible","rwd","front","88.6","0.811148486304661","0.890277777777778","0.816053511705686","2548","dohc","four","130","mpfi","3.47","2.68","9.0","111.0","5000.0","21","27","13495.0"
"1","3","122","alfa-romero","gas","std","two","convertible","rwd","front","88.6","0.811148486304661","0.890277777777778","0.816053511705686","2548","dohc","four","130","mpfi","3.47","2.68","9.0","111.0","5000.0","21","27","16500.0"
"2","1","122","alfa-romero","gas","std","two","hatchback","rwd","front","94.5","0.822681403171552","0.909722222222222","0.876254180602007","2823","ohcv","six","152","mpfi","2.68","3.47","9.0","154.0","5000.0","19","26","16500.0"
"3","2","164","audi","gas","std","four","sedan","fwd","front","99.8","0.848630466122057","0.919444444444445","0.908026755852843","2337","ohc","four","109","mpfi","3.19","3.4","10.0","102.0","5500.0","24","30","13950.0"
"4","2","164","audi","gas","std","four","sedan","4wd","front","99.4","0.848630466122057","0.922222222222222","0.908026755852843","2824","ohc","five","136","mpfi","3.19","3.4","8.0","115.0","5500.0","18","22","17450.0"
"5","2","122","audi","gas","std","two","sedan","fwd","front","99.8","0.851994233541567","0.920833333333333","0.887959866220736","2507","ohc","five","136","mpfi","3.19","3.4","8.5","110.0","5500.0","19","25","15250.0"
"6","1","158","audi","gas","std","four","sedan","fwd","front","105.8","0.925997116770783","0.991666666666667","0.931438127090301","2844","ohc","five","136","mpfi","3.19","3.4","8.5","110.0","5500.0","19","25","17710.0"
"7","1","122","audi","gas","std","four","wagon","fwd","front","105.8","0.925997116770783","0.991666666666667","0.931438127090301","2954","ohc","five","136","mpfi","3.19","3.4","8.5","110.0","5500.0","19","25","18920.0"
"8","1","158","audi","gas","turbo","four","sedan","fwd","front","105.8","0.925997116770783","0.991666666666667","0.934782608695652","3086","ohc","five","131","mpfi","3.13","3.4","8.3","140.0","5500.0","17","20","23875.0"
"10","2","192","bmw","gas","std","two","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2395","ohc","four","108","mpfi","3.5","2.8","8.8","101.0","5800.0","23","29","16430.0"
"11","0","192","bmw","gas","std","four","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2395","ohc","four","108","mpfi","3.5","2.8","8.8","101.0","5800.0","23","29","16925.0"
"12","0","188","bmw","gas","std","two","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2710","ohc","six","164","mpfi","3.31","3.19","9.0","121.0","4250.0","21","28","20970.0"
"13","0","188","bmw","gas","std","four","sedan","rwd","front","101.2","0.849591542527631","0.9","0.908026755852843","2765","ohc","six","164","mpfi","3.31","3.19","9.0","121.0","4250.0","21","28","21105.0"
"14","1","122","bmw","gas","std","four","sedan","rwd","front","103.5","0.90821720326766","0.929166666666667","0.931438127090301","3055","ohc","six","164","mpfi","3.31","3.19","9.0","121.0","4250.0","20","25","24565.0"
"15","0","122","bmw","gas","std","four","sedan","rwd","front","103.5","0.90821720326766","0.929166666666667","0.931438127090301","3230","ohc","six","209","mpfi","3.62","3.39","8.0","182.0","5400.0","16","22","30760.0"
"16","0","122","bmw","gas","std","two","sedan","rwd","front","103.5","0.931283037001442","0.943055555555556","0.897993311036789","3380","ohc","six","209","mpfi","3.62","3.39","8.0","182.0","5400.0","16","22","41315.0"
"17","0","122","bmw","gas","std","four","sedan","rwd","front","110.0","0.946660259490629","0.984722222222222","0.941471571906355","3505","ohc","six","209","mpfi","3.62","3.39","8.0","182.0","5400.0","15","20","36880.0"
"18","2","121","chevrolet","gas","std","two","hatchback","fwd","front","88.4","0.678039404132629","0.8375","0.889632107023411","1488","l","three","61","2bbl","2.91","3.03","9.5","48.0","5100.0","47","53","5151.0"
"19","1","98","chevrolet","gas","std","two","hatchback","fwd","front","94.5","0.749159058145123","0.883333333333333","0.869565217391304","1874","ohc","four","90","2bbl","3.03","3.11","9.6","70.0","5400.0","38","43","6295.0"
"20","0","81","chevrolet","gas","std","four","sedan","fwd","front","94.5","0.763094666025949","0.883333333333333","0.869565217391304","1909","ohc","four","90","2bbl","3.03","3.11","9.6","70.0","5400.0","38","43","6575.0"
"21","1","118","dodge","gas","std","two","hatchback","fwd","front","93.7","0.755886592984142","0.886111111111111","0.849498327759197","1876","ohc","four","90","2bbl","2.97","3.23","9.41","68.0","5500.0","37","41","5572.0"
